AI|爱,哎,矮,哀,唉,隘,碍,埃,挨,皑,癌,蔼,艾
ANG|肮,昂,盎
AN|安,岸,按,案,暗,俺,氨,鞍,胺
AO|凹,敖,熬,翱,袄,傲,奥,澳,懊
A|阿,啊,呵
BAI|白,百,佰,柏,摆,败,拜,伯,稗
BANG|帮,棒,傍,邦,梆,绑,榜,蚌,谤,磅,镑,膀
BAN|办,半,班,般,伴,扳,颁,斑,搬,板,版,拌,绊,瓣,扮
BAO|宝,保,包,苞,胞,褒,雹,薄,饱,堡,报,抱,豹,鲍,暴,爆,剥,刨,炮,瀑,曝
BA|八,巴,扒,叭,芭,疤,捌,笆,拔,跋,把,靶,坝,爸,罢,霸,吧,耙
BEI|北,杯,卑,悲,碑,贝,狈,备,背,钡,倍,被,辈,惫,焙,臂
BENG|甭,崩,绷,蚌,泵,迸,蹦
BEN|奔,本,苯,笨,夯
BIAN|边,变,便,编,鞭,贬,扁,卞,遍,辨,辩,辫
BIAO|标,彪,膘,表
BIE|别,憋,鳖,瘪
BING|冰,兵,丙,秉,柄,饼,炳,并,病,屏
BIN|宾,彬,斌,滨,濒,摈
BI|逼,鼻,比,彼,笔,鄙,币,必,毕,闭,庇,毖,陛,毙,敝,蓖,痹,碧,蔽,弊,壁,避,臂,拂,泌,秘,辟
BO|卜,薄,拨,波,玻,柏,钵,剥,菠,播,伯,驳,帛,泊,勃,铂,舶,脖,博,渤,搏,箔,膊,魄
BU|堡,卜,补,捕,哺,不,布,步,怖,部,埠,簿,埔
B|比,彼,必,陛,鄙,笔,鼻
CAI|猜,才,材,财,裁,采,彩,睬,踩,菜,蔡
CANG|仓,苍,沧,舱,藏
CAN|参,餐,残,蚕,惭,惨,灿,掺
CAO|操,草,糙,曹,槽
CA|擦,拆
CENG|层,曾,蹭
CE|册,厕,侧,测,策
CHAI|差,拆,柴,豺
CHANG|昌,猖,肠,尝,常,偿,厂,场,敞,畅,倡,唱,裳,倘,长
CHAN|掺,搀,谗,馋,缠,蝉,产,铲,阐,颤,单
CHAO|抄,钞,绰,超,巢,朝,嘲,潮,吵,炒,剿
CHA|叉,插,茬,茶,查,搽,碴,察,岔,刹,诧,差,喳
